Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C23, C25, C7, C8, C9",0402,8,1u,
"C10, C11",0402,2,100n,CC0603KRX7R6BB224
C13,0402,1,150n,
"C14, C15, C21",0402,3,100n,
"C16, C17, C18, C19, C20, C22, C24, C3, C4, C5",0603,10,10u,
D1,D_SOD-323F,1,BAT54J,
D2,D_SOD-123,1,MBR0540,
D3,0603,1,LED,
"J1, J5, J6, J7",Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,4,AudioJack3_Switch,
"J11, J12, J13, J14, J15",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,5,Conn_01x05,
J16,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BATTERY,
"J2, J3",CUI_SJ2-35863B1-SMT-TR,2,CUI_SJ2-35863B1-SMT-TR,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J8,microSD_HC_Hirose_DM3BT-DSF-PEJS,1,Micro_SD_Card,
J9,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03,
MK1,POM-2244P-C3310-2-R,1,Microphone_Condenser,
Q1,SOT-23,1,DMG3415,
"R1, R2, R3, R4, R5",0402,5,22R,
"R10, R9",0402,2,5.1k,
R11,0603,1,2k2,
"R12, R13, R16, R17",0402,4,10k,
"R14, R18",0603,2,2k,
"R6, R7, R8",0603,3,220R,
SW1,EG2219,1,EG2219,
"U1, U7",SOT-23-5,2,SPX3819M5-L-3-3,
"U10, U11, U12, U9",DuppaI2CEncoderV2.1,4,01x05 Connector_PinSocket_2.54mm,
U2,SOT-23-5,1,SPX3819M5-L-1-8,
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,1,SGTL5000XNBA3,
U4,5pin SO6_TOS,1,TLP2361V4_E,
U5,SOT-23-6,1,74LVC2G14,C12401
U8,SOT-23-5,1,MCP73831-3-OT,
