Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,101.6175,-50.39,-90.0,top
C10,100n,C_0402_1005Metric,108.88,-50.52,0.0,top
C11,100n,C_0402_1005Metric,110.5,-41.0,0.0,top
C12,1u,C_0402_1005Metric,110.5,-40.0,0.0,top
C13,150n,C_0402_1005Metric,111.9,-47.8,-90.0,top
C14,100n,C_0402_1005Metric,156.69,-45.76,0.0,top
C15,100n,C_0402_1005Metric,141.5675,-49.17,-90.0,top
C16,10u,C_0603_1608Metric,58.5,-43.5,180.0,top
C17,10u,C_0603_1608Metric,58.5,-45.5,180.0,top
C18,10u,C_0603_1608Metric,116.055,-47.85,180.0,top
C19,10u,C_0603_1608Metric,116.07,-46.31,180.0,top
C2,1u,C_0402_1005Metric,103.5,-46.98,-90.0,top
C20,10u,C_0603_1608Metric,116.065,-44.79,180.0,top
C21,100n,C_0402_1005Metric,121.7,-77.02,180.0,top
C22,10u,C_0603_1608Metric,122.0,-75.5,0.0,top
C23,1u,C_0402_1005Metric,98.415,-39.2325,180.0,top
C24,10u,C_0603_1608Metric,98.105,-33.0225,180.0,top
C25,1u,C_0402_1005Metric,95.565,-37.0725,90.0,top
C26,100nF,C_0603_1608Metric,81.275,-26.8,180.0,top
C27,0.47uF,C_0603_1608Metric,58.0,-76.0,0.0,top
C28,0.47uF,C_0603_1608Metric,65.0,-70.0,180.0,top
C29,100nF,C_0603_1608Metric,65.0,-68.0,0.0,top
C3,10u,C_0603_1608Metric,95.443778,-50.283225,-90.0,top
C30,1uF,C_0603_1608Metric,61.5,-68.0,180.0,top
C31,1uF,C_0603_1608Metric,61.5,-70.0,0.0,top
C32,1uF,C_0603_1608Metric,181.177879,-33.301621,0.0,top
C33,4.7uF,C_0603_1608Metric,176.5,-32.0,-90.0,top
C35,4.7uF,C_0603_1608Metric,187.275,-32.0,0.0,top
C36,22µF,C_0603_1608Metric,61.45,-71.8,0.0,top
C4,10u,C_0603_1608Metric,95.45,-46.825,-90.0,top
C5,100nF,C_0603_1608Metric,151.6,-30.075,-90.0,top
C6,1000uF,CP_Elec_8x10.5,90.0,-35.0,-90.0,top
C7,1u,C_0402_1005Metric,107.52,-53.0,0.0,top
C8,1u,C_0402_1005Metric,102.98,-48.5,0.0,top
C9,1u,C_0402_1005Metric,108.92,-51.68,0.0,top
D1,BAT54J,D_SOD-323F,148.276528,-48.447164,-90.0,top
D4,Red,LED_0402_1005Metric,180.083674,-26.932915,90.0,top
D5,Yellow,LED_0402_1005Metric,177.726122,-26.93625,90.0,top
IC1,BQ24075TRGTR,QFN50P300X300X100-17N-D,180.925,-30.225,180.0,top
J1,AudioJack3_Switch,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,42.35,-83.115,180.0,top
J10,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,35.0,-69.0,270.0,top
J11,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,67.0,-90.0,0.0,top
J11.5,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,67.0,-81.6,0.0,top
J12,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,65.0,-38.0,0.0,top
J13,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,78.5,-38.0,0.0,top
J14,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,65.0,-30.0,0.0,top
J15,Conn_01x05,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,185.0,-58.865836,90.0,top
J16,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,187.0,-28.5,0.0,top
J17,AudioJack3_Ground,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,184.85,-76.9,-90.0,top
J3,AudioJack3_Ground,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,184.85,-89.9,-90.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,35.41,-52.86,-90.0,top
J5,AudioJack3_Switch,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,42.33102,-35.192339,180.0,top
J6,AudioJack3_Switch,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,164.76,-85.35,-90.0,top
J7,AudioJack3_Switch,Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal,142.005,-85.35,-90.0,top
J8,Micro_SD_Card,microSD_HC_Hirose_DM3BT-DSF-PEJS,120.9,-86.925,0.0,top
J9,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,80.4,-30.0,180.0,top
MK1,Microphone_Condenser,POM-2244P-C3310-2-R,112.0,-67.45,90.0,top
R1,22R,R_0402_1005Metric,107.23,-39.51,-90.0,top
R10,5.1k,R_0402_1005Metric,40.5,-60.5,0.0,top
R11,2.2k,R_0603_1608Metric,115.5,-66.825,-90.0,top
R12,10k,R_0402_1005Metric,101.99,-43.54,0.0,top
R13,10k,R_0402_1005Metric,101.99,-44.68,0.0,top
R14,10k,R_0402_1005Metric,184.51,-32.0,0.0,top
R15,1M,R_0402_1005Metric,148.5,-30.51,90.0,top
R16,10k,R_0402_1005Metric,118.73,-77.5,180.0,top
R19,1.5M,R_0402_1005Metric,150.0,-30.51,-90.0,top
R2,22R,R_0402_1005Metric,106.14,-39.51,-90.0,top
R20,220R,R_0603_1608Metric,138.5,-29.0,0.0,top
R21,20k,R_0805_2012Metric,61.5,-66.0,180.0,top
R22,20k,R_0805_2012Metric,58.0,-74.0,180.0,top
R23,1.1k,R_0402_1005Metric,178.0,-32.01,-90.0,top
R24,1.13k,R_0402_1005Metric,184.5,-33.5,0.0,top
R25,1.5k,R_0402_1005Metric,178.99,-26.921978,90.0,top
R26,1.5k,R_0402_1005Metric,176.5442,-26.921978,-90.0,top
R3,22R,R_0402_1005Metric,105.05,-39.51,-90.0,top
R4,22R,R_0402_1005Metric,103.92,-39.51,-90.0,top
R5,22R,R_0402_1005Metric,102.87,-39.51,-90.0,top
R6,220R,R_0603_1608Metric,146.34,-48.46,-90.0,top
R7,220R,R_0603_1608Metric,178.0,-68.825,-90.0,top
R8,220R,R_0603_1608Metric,181.5,-68.0,0.0,top
R9,5.1k,R_0402_1005Metric,40.5,-62.0,0.0,top
