"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R19";"R_0402_1005Metric";1;"1.5M";;;
2;"MK1";"POM-2244P-C3310-2-R";1;"Microphone_Condenser";;;
3;"R28";"R_0402_1005Metric";1;"1k";;;
4;"J2,J21,J18,J20,J19,J22,J24,J23";"PinSocket_1x05_P2.54mm_Vertical";8;"Conn_01x05_Socket";;;
5;"C8,C25,C37,C7,C38";"C_0402_1005Metric";5;"100nF";;;
6;"R11";"R_0603_1608Metric";1;"2.2k";;;
7;"C35,C33";"C_0603_1608Metric";2;"4.7uF";;;
8;"R12,R13,R16,R30,R17";"R_0402_1005Metric";5;"10k";;;
9;"J15,J11.5,J11,J12,J13,J14";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";6;"Conn_01x05";;;
10;"C16,C18,C19,C22,C20,C4,C17,C24,C3";"C_0603_1608Metric";9;"10u";;;
11;"R7,R8";"R_0603_1608Metric";2;"33R";;;
12;"J4";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
13;"IC1";"QFN50P300X300X100-17N-D";1;"BQ24075TRGTR";;;
14;"R4,R2,R1,R5,R3";"R_0402_1005Metric";5;"22R";;;
15;"J3,J17";"CUI_SJ1-3533";2;"AudioJack3_Ground";;;
16;"C21,C14,C15,C11,C10";"C_0402_1005Metric";5;"100n";;;
17;"C1,C12,C2,C23,C9";"C_0402_1005Metric";5;"1u";;;
18;"U5";"SOT-23-6";1;"74LVC2G14";;;
19;"U1,U7";"SOT-23-5";2;"SPX3819M5-L-3-3";;;
20;"C26,C5,C29";"C_0603_1608Metric";3;"100nF";;;
21;"D5";"LED_0402_1005Metric";1;"Yellow";;;
22;"U4";"5pin SO6_TOS";1;"TLP2361V4_E";;;
23;"J9";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"Conn_01x03";;;
24;"C13";"C_0402_1005Metric";1;"150n";;;
25;"C36";"C_0603_1608Metric";1;"22µF";;;
26;"J7,J5,J6,J1";"Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal";4;"AudioJack3_Switch";;;
27;"R24";"R_0402_1005Metric";1;"1.13k";;;
28;"R18";"R_0402_1005Metric";1;"200k";;;
29;"R10,R9";"R_0402_1005Metric";2;"5.1k";;;
30;"R22,R21";"R_0805_2012Metric";2;"20k";;;
31;"C6";"CP_Elec_8x10.5";1;"1000uF";;;
32;"C31,C30";"C_0603_1608Metric";2;"1uF";;;
33;"U14";"SOT-23-5";1;"74LVC1G17";;;
34;"J10,J26,J25,J16";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";4;"Conn_01x02";;;
35;"R27,R29";"R_0402_1005Metric";2;"100k";;;
36;"U8";"SOT95P280X145-6N";1;"TPS22918DBVR";;;
37;"D4";"LED_0402_1005Metric";1;"Red";;;
38;"R26,R25";"R_0402_1005Metric";2;"1.5k";;;
39;"U13";"SOIC-16_3.9x9.9mm_P1.27mm";1;"PAM8403D";;;
40;"U2";"SOT-23-5";1;"SPX3819M5-L-1-8";;;
41;"D1";"D_SOD-323F";1;"BAT54J";;;
42;"C28,C27";"C_0603_1608Metric";2;"0.47uF";;;
43;"S1";"EG2219";1;"EG2219";;;
44;"R23";"R_0402_1005Metric";1;"1.1k";;;
45;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm";1;"SGTL5000XNBA3";;;
46;"J8";"microSD_HC_Hirose_DM3BT-DSF-PEJS";1;"Micro_SD_Card";;;
47;"U15";"SOT-23-5";1;"74AHCT1G125";;;
48;"C34";"C_0402_1005Metric";1;"10nF";;;
49;"C32";"C_0603_1608Metric";1;"10uF";;;
50;"R15";"R_0402_1005Metric";1;"1M";;;
51;"R20,R6";"R_0603_1608Metric";2;"220R";;;
52;"R14";"R_0402_1005Metric";1;"49.9k";;;
